,yearID,teamID,G,W,WSWin,R,H,SB,ER,E
1143,1947,NY1,155,81,N,830,1446,29.0,672,155
1144,1947,NYA,155,97,Y,794,1439,27.0,518,109
1145,1947,PHA,156,78,N,633,1311,37.0,542,143
1146,1947,PHI,155,62,N,589,1354,60.0,599,152
1147,1947,PIT,156,62,N,744,1385,30.0,714,149
1148,1947,SLA,154,59,N,564,1238,69.0,657,134
1149,1947,SLN,156,89,N,780,1462,28.0,548,127
1150,1947,WS1,154,64,N,496,1234,53.0,601,142
1151,1948,BOS,155,96,N,907,1471,38.0,653,116
1152,1948,BRO,155,84,N,744,1393,114.0,580,160
1153,1948,BSN,154,91,N,739,1458,43.0,520,143
1154,1948,CHA,154,51,N,559,1303,46.0,731,154
1155,1948,CHN,155,64,N,597,1402,39.0,602,172
1156,1948,CIN,153,64,N,588,1266,42.0,667,153
1157,1948,CLE,156,97,Y,840,1534,54.0,504,114
1158,1948,DET,154,78,N,700,1396,22.0,635,155
1159,1948,NY1,155,78,N,780,1352,51.0,600,156
1160,1948,NYA,154,94,N,857,1480,24.0,569,120
1161,1948,PHA,154,84,N,729,1345,40.0,673,113
1162,1948,PHI,155,66,N,591,1367,68.0,617,210
1163,1948,PIT,156,83,N,706,1388,68.0,632,135
1164,1948,SLA,155,59,N,671,1438,63.0,764,168
1165,1948,SLN,155,85,N,742,1396,24.0,594,118
1166,1948,WS1,154,56,N,578,1245,76.0,701,154
1167,1949,BOS,155,96,N,896,1500,43.0,607,120
1168,1949,BRO,156,97,N,879,1477,117.0,594,124
1169,1949,BSN,157,75,N,706,1376,28.0,621,149
1170,1949,CHA,154,63,N,648,1340,62.0,651,135
1171,1949,CHN,154,61,N,593,1336,53.0,678,187
1172,1949,CIN,156,62,N,627,1423,31.0,676,136
1173,1949,CLE,154,89,N,675,1358,44.0,516,103
1174,1949,DET,155,87,N,751,1405,39.0,584,132
1175,1949,NY1,156,73,N,736,1383,43.0,583,163
1176,1949,NYA,155,97,Y,829,1396,58.0,562,137
